run_mode,suite_name,environment_name,environment_tier,sample_size,state_dimension,coverage_setting,policy_shift_setting,reward_noise_setting,misspecification_setting,baseline_learner,learner_variant,learner_quality_regime,calibration_difficulty,main_figure_role,calibrated,calibration_protocol,calibrator,calibration_target,split_fraction,train_fraction,coverage_stratum,n_replications,mean_coverage_stratum_error,coverage_stratum_error_mc_se,mean_coverage_stratum_calibration_error,coverage_stratum_calibration_error_mc_se,mean_coverage_stratum_count,mean_coverage_stratum_ratio,failure_rate,eligible_fraction
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,4,100,1.0313759670780498,0.09346371498538955,0.9909910102780163,0.09321496052740733,80.0,1.8137971344323844,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,0,100,1.8433496425357756,0.26800085018581843,1.797286891645808,0.2652571167605706,80.0,0.405329645540658,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,1,100,1.2750295641530607,0.1559184070440115,1.2318126261740054,0.1560051731834357,80.0,0.7466196372534409,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,2,100,1.0200524270024076,0.09244522558321731,0.981261837666604,0.09316038905005276,80.0,0.9495664681179267,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,3,100,0.9922766312161224,0.08019569834875938,0.9522422575547101,0.08041811955299762,80.0,1.1098148266528403,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,4,100,1.1183125424937723,0.09341617534129065,1.0797905738780331,0.092840576659469,80.0,1.8137971344323844,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,0,100,1.560758129664309,0.20943543716594845,1.5170744954994257,0.20714657328772076,80.0,0.405329645540658,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,1,100,1.0832971148202548,0.12808951609954095,1.039499337948322,0.1279686771613859,80.0,0.7466196372534409,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,2,100,0.8354481025316122,0.07575740371529995,0.7986593621665284,0.07640192592895544,80.0,0.9495664681179267,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,3,100,0.8277566266178783,0.06677883765089627,0.7880157018806109,0.06730470194485531,80.0,1.1098148266528403,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,4,100,0.9245849820530547,0.07281589807450131,0.8837667990730453,0.07251869584506294,80.0,1.8137971344323844,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,current_retrain_small,none,value_bellman,0.05,0.05,0,100,2055.5197683599936,55.05104276228228,2055.46661873425,55.045128107830124,100.0,0.5403463278044632,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,current_retrain_small,none,value_bellman,0.05,0.05,1,100,1906.8834938158986,55.41213055029834,1906.8251704277316,55.412905945592534,100.0,0.8322155643689344,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,current_retrain_small,none,value_bellman,0.05,0.05,2,100,2260.028694372641,69.18734642307786,2260.0145304850676,69.1948449470982,100.0,0.982529910100818,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,current_retrain_small,none,value_bellman,0.05,0.05,3,100,2220.350670118323,60.604614757880185,2220.3151487848118,60.60530767129736,100.0,1.106239140178131,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,current_retrain_small,none,value_bellman,0.05,0.05,4,100,1981.247716394358,50.430398218999144,1981.2529165149267,50.4262433283875,100.0,1.5361896437758074,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,0,100,13.02753289900105,0.5939981471783923,13.017316842272024,0.5928569250587803,100.0,0.5403463278044632,0.0,1.0
final,temporal_reward_shift_sweep,nonlinear_discrete_action,temporal_reward_shift,2000,5,moderate,0.55,0.08,temporal_reward_shift,random_feature_fqe,temporal_rf_fqe,temporally_shifted,temporal_reward_shift,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,1,100,10.774818625279574,0.4605644127175177,10.766543877521634,0.46123479615763097,100.0,0.8322155643689344,0.0,1.0
